fecha,market_id,mercado,occ_informal_pct,adr_usd,revpar_usd,revenue_usd,listings_activos,estadia_informal,listings_disponibles,listings_ocupados,anio,mes
2026-03-01,82015515,Santiago del Estero,39.35,27.52,17.42,488.85,131,4.93,15,51,2026,3
2026-03-01,82015655,Termas de Rio Hondo,5.13,27.21,12.61,454.08,20,5.48,2,2,2026,3
2026-02-01,82015515,Santiago del Estero,36.18,23.5,14.57,440.45,141,3.54,14,54,2026,2
2026-02-01,82015655,Termas de Rio Hondo,36.26,22.79,16.09,399.44,20,5.51,0,4,2026,2
2026-01-01,82015515,Santiago del Estero,36.06,26.05,16.01,602.21,280,5.37,54,68,2026,1
2026-01-01,82015655,Termas de Rio Hondo,28.87,26.0,12.32,519.31,34,10.04,5,3,2026,1
2025-12-01,82015515,Santiago del Estero,31.47,29.56,17.19,412.03,276,3.53,1,121,2025,12
2025-12-01,82015655,Termas de Rio Hondo,30.11,16.21,7.24,167.76,35,2.32,0,8,2025,12
2025-11-01,82015515,Santiago del Estero,38.17,26.84,17.03,452.43,156,3.34,8,64,2025,11
2025-11-01,82015655,Termas de Rio Hondo,19.51,18.27,6.77,253.15,24,3.56,3,2,2025,11
2025-10-01,82015515,Santiago del Estero,31.68,25.76,12.88,445.88,234,3.68,35,61,2025,10
2025-10-01,82015655,Termas de Rio Hondo,29.94,12.67,21.16,657.05,30,4.8,2,5,2025,10
2025-09-01,82015515,Santiago del Estero,37.49,29.55,19.04,535.84,243,4.13,5,96,2025,9
2025-09-01,82015655,Termas de Rio Hondo,24.75,21.6,15.63,459.26,30,4.91,2,6,2025,9
2025-08-01,82015515,Santiago del Estero,31.42,29.68,15.26,469.2,256,3.15,6,94,2025,8
2025-08-01,82015655,Termas de Rio Hondo,9.95,44.5,11.93,410.84,37,2.29,2,7,2025,8
2025-07-01,82015515,Santiago del Estero,48.97,32.17,26.77,653.51,231,3.5,5,89,2025,7
2025-07-01,82015655,Termas de Rio Hondo,25.77,20.17,33.56,697.76,34,2.98,0,8,2025,7
2025-06-01,82015515,Santiago del Estero,31.37,28.36,12.15,362.88,232,3.83,10,82,2025,6
2025-06-01,82015655,Termas de Rio Hondo,12.5,9.0,16.79,473.68,23,9.78,1,6,2025,6
2025-05-01,82015515,Santiago del Estero,48.34,27.07,20.46,474.53,225,3.45,4,87,2025,5
2025-05-01,82015655,Termas de Rio Hondo,10.32,25.34,16.07,469.88,32,4.02,2,7,2025,5
2025-04-01,82015515,Santiago del Estero,35.96,27.62,15.88,496.76,229,4.79,27,66,2025,4
2025-04-01,82015655,Termas de Rio Hondo,12.5,24.56,9.96,375.88,49,2.3,6,5,2025,4
2025-03-01,82015515,Santiago del Estero,33.45,27.5,16.02,382.58,219,3.8,2,89,2025,3
2025-03-01,82015655,Termas de Rio Hondo,32.0,20.02,20.45,456.3,44,4.92,0,9,2025,3
2025-02-01,82015515,Santiago del Estero,51.28,24.02,22.11,609.12,130,4.6,7,42,2025,2
2025-02-01,82015655,Termas de Rio Hondo,19.05,23.54,12.38,394.9,16,3.18,1,2,2025,2
2025-01-01,82015515,Santiago del Estero,34.34,23.41,16.26,638.12,181,5.88,25,44,2025,1
2025-01-01,82015655,Termas de Rio Hondo,39.62,18.85,21.19,546.43,14,10.5,0,2,2025,1
2024-12-01,82015515,Santiago del Estero,43.79,24.0,19.97,422.09,177,4.22,3,63,2024,12
2024-12-01,82015655,Termas de Rio Hondo,100.0,9.0,25.71,588.56,9,6.24,0,1,2024,12
2024-11-01,82015515,Santiago del Estero,34.38,23.86,12.69,398.06,114,2.67,9,32,2024,11
2024-11-01,82015655,Termas de Rio Hondo,0.0,9.0,10.94,414.0,11,9.58,1,0,2024,11
2024-10-01,82015515,Santiago del Estero,26.57,20.93,11.22,551.45,199,4.49,37,34,2024,10
2024-10-01,82015655,Termas de Rio Hondo,8.16,28.0,14.34,453.1,11,3.43,1,1,2024,10
2024-09-01,82015515,Santiago del Estero,42.07,21.99,17.73,449.53,206,3.45,3,73,2024,9
2024-09-01,82015655,Termas de Rio Hondo,29.03,22.89,13.99,373.17,12,2.24,0,2,2024,9
2024-08-01,82015515,Santiago del Estero,46.6,22.23,15.93,431.69,167,3.63,4,52,2024,8
2024-08-01,82015655,Termas de Rio Hondo,1.2,29.0,5.64,273.18,23,1.88,3,1,2024,8
2024-07-01,82015515,Santiago del Estero,55.54,23.26,21.55,601.21,154,3.89,4,45,2024,7
2024-07-01,82015655,Termas de Rio Hondo,56.03,27.98,21.9,642.84,27,3.2,0,4,2024,7
2024-06-01,82015515,Santiago del Estero,48.64,21.95,15.38,416.56,155,3.61,15,41,2024,6
2024-06-01,82015655,Termas de Rio Hondo,56.94,18.89,13.33,287.88,27,8.41,0,3,2024,6
2024-05-01,82015515,Santiago del Estero,39.79,21.7,12.14,352.18,159,3.51,6,51,2024,5
2024-05-01,82015655,Termas de Rio Hondo,42.7,18.93,10.43,330.19,36,2.98,2,3,2024,5
2024-04-01,82015515,Santiago del Estero,27.65,21.01,10.62,336.08,145,5.29,13,42,2024,4
2024-04-01,82015655,Termas de Rio Hondo,12.61,18.53,14.78,397.18,36,4.59,0,4,2024,4
2024-03-01,82015515,Santiago del Estero,46.94,,,,,,2,47,2024,3
2024-03-01,82015655,Termas de Rio Hondo,8.33,,,,,,0,2,2024,3
2024-02-01,82015515,Santiago del Estero,47.83,,,,,,7,31,2024,2
2024-02-01,82015655,Termas de Rio Hondo,12.12,,,,,,0,2,2024,2
2024-01-01,82015515,Santiago del Estero,30.03,,,,,,28,30,2024,1
2024-01-01,82015655,Termas de Rio Hondo,8.25,,,,,,3,2,2024,1
2023-12-01,82015515,Santiago del Estero,35.96,,,,,,1,55,2023,12
2023-12-01,82015655,Termas de Rio Hondo,7.87,,,,,,1,4,2023,12
2023-11-01,82015515,Santiago del Estero,27.06,,,,,,13,21,2023,11
2023-11-01,82015655,Termas de Rio Hondo,43.4,,,,,,2,1,2023,11
2023-10-01,82015515,Santiago del Estero,37.01,,,,,,3,33,2023,10
2023-10-01,82015655,Termas de Rio Hondo,39.36,,,,,,1,3,2023,10
2023-09-01,82015515,Santiago del Estero,34.79,,,,,,12,28,2023,9
2023-09-01,82015655,Termas de Rio Hondo,32.69,,,,,,1,3,2023,9
2023-08-01,82015515,Santiago del Estero,44.35,,,,,,1,37,2023,8
2023-08-01,82015655,Termas de Rio Hondo,32.95,,,,,,2,4,2023,8
2023-07-01,82015515,Santiago del Estero,53.43,,,,,,1,32,2023,7
2023-07-01,82015655,Termas de Rio Hondo,62.94,,,,,,0,6,2023,7
2023-06-01,82015515,Santiago del Estero,30.65,,,,,,11,23,2023,6
2023-06-01,82015655,Termas de Rio Hondo,42.02,,,,,,1,4,2023,6
2023-05-01,82015515,Santiago del Estero,52.01,,,,,,2,30,2023,5
2023-05-01,82015655,Termas de Rio Hondo,61.47,,,,,,1,4,2023,5
2023-04-01,82015515,Santiago del Estero,28.2,,,,,,3,26,2023,4
2023-04-01,82015655,Termas de Rio Hondo,7.43,,,,,,1,7,2023,4
2023-03-01,82015515,Santiago del Estero,49.91,,,,,,2,27,2023,3
2023-03-01,82015655,Termas de Rio Hondo,27.68,,,,,,1,7,2023,3
2023-02-01,82015515,Santiago del Estero,37.53,,,,,,1,17,2023,2
2023-02-01,82015655,Termas de Rio Hondo,37.8,,,,,,1,4,2023,2
2023-01-01,82015515,Santiago del Estero,29.06,,,,,,9,14,2023,1
2023-01-01,82015655,Termas de Rio Hondo,56.92,,,,,,0,3,2023,1
2022-12-01,82015515,Santiago del Estero,37.31,,,,,,3,23,2022,12
2022-12-01,82015655,Termas de Rio Hondo,27.59,,,,,,0,1,2022,12
2022-11-01,82015515,Santiago del Estero,26.11,,,,,,6,18,2022,11
2022-11-01,82015655,Termas de Rio Hondo,16.0,,,,,,1,1,2022,11
2022-10-01,82015515,Santiago del Estero,36.06,,,,,,7,22,2022,10
2022-10-01,82015655,Termas de Rio Hondo,42.86,,,,,,2,2,2022,10
2022-09-01,82015515,Santiago del Estero,39.34,,,,,,4,26,2022,9
2022-09-01,82015655,Termas de Rio Hondo,44.62,,,,,,0,3,2022,9
2022-08-01,82015515,Santiago del Estero,31.78,,,,,,8,22,2022,8
2022-08-01,82015655,Termas de Rio Hondo,17.78,,,,,,7,2,2022,8
2022-07-01,82015515,Santiago del Estero,46.23,,,,,,1,30,2022,7
2022-07-01,82015655,Termas de Rio Hondo,43.44,,,,,,2,9,2022,7
2022-06-01,82015515,Santiago del Estero,45.62,,,,,,4,21,2022,6
2022-06-01,82015655,Termas de Rio Hondo,9.09,,,,,,2,5,2022,6
2022-05-01,82015515,Santiago del Estero,43.68,,,,,,1,21,2022,5
2022-05-01,82015655,Termas de Rio Hondo,20.0,,,,,,5,5,2022,5
2022-04-01,82015515,Santiago del Estero,38.28,,,,,,0,26,2022,4
2022-04-01,82015655,Termas de Rio Hondo,38.85,,,,,,0,10,2022,4
2022-03-01,82015515,Santiago del Estero,40.97,,,,,,4,19,2022,3
2022-03-01,82015655,Termas de Rio Hondo,49.37,,,,,,0,7,2022,3
2022-02-01,82015515,Santiago del Estero,44.59,,,,,,3,19,2022,2
2022-02-01,82015655,Termas de Rio Hondo,14.63,,,,,,1,2,2022,2
2022-01-01,82015515,Santiago del Estero,45.7,,,,,,6,22,2022,1
2022-01-01,82015655,Termas de Rio Hondo,27.21,,,,,,4,3,2022,1
2021-12-01,82015515,Santiago del Estero,49.14,,,,,,0,27,2021,12
2021-12-01,82015655,Termas de Rio Hondo,24.8,,,,,,0,7,2021,12
2021-11-01,82015515,Santiago del Estero,39.49,,,,,,4,15,2021,11
2021-11-01,82015655,Termas de Rio Hondo,0.0,,,,,,3,0,2021,11
2021-10-01,82015515,Santiago del Estero,55.96,,,,,,1,15,2021,10
2021-10-01,82015655,Termas de Rio Hondo,46.15,,,,,,0,3,2021,10
2021-09-01,82015515,Santiago del Estero,60.76,,,,,,3,10,2021,9
2021-09-01,82015655,Termas de Rio Hondo,100.0,,,,,,0,1,2021,9
2021-08-01,82015515,Santiago del Estero,46.56,,,,,,4,12,2021,8
2021-08-01,82015655,Termas de Rio Hondo,35.23,,,,,,3,1,2021,8
2021-07-01,82015515,Santiago del Estero,54.23,,,,,,4,10,2021,7
2021-07-01,82015655,Termas de Rio Hondo,63.08,,,,,,0,4,2021,7
2021-06-01,82015515,Santiago del Estero,42.97,,,,,,2,9,2021,6
2021-06-01,82015655,Termas de Rio Hondo,100.0,,,,,,0,1,2021,6
2021-05-01,82015515,Santiago del Estero,54.05,,,,,,4,9,2021,5
2021-05-01,82015655,Termas de Rio Hondo,0.0,,,,,,4,0,2021,5
2021-04-01,82015515,Santiago del Estero,34.68,,,,,,2,12,2021,4
2021-04-01,82015655,Termas de Rio Hondo,58.41,,,,,,0,4,2021,4
