fecha,anio,mes,provincia,empleo_registrado,sector,fuente
2025-03-01,2025,3,Buenos Aires,98088,HyG,SIPA-AFIP
2025-03-01,2025,3,CABA,100457,HyG,SIPA-AFIP
2025-03-01,2025,3,Catamarca,4222,HyG,SIPA-AFIP
2025-03-01,2025,3,Chaco,1366,HyG,SIPA-AFIP
2025-03-01,2025,3,Chubut,3938,HyG,SIPA-AFIP
2025-03-01,2025,3,Corrientes,3782,HyG,SIPA-AFIP
2025-03-01,2025,3,Córdoba,24717,HyG,SIPA-AFIP
2025-03-01,2025,3,Entre Ríos,4405,HyG,SIPA-AFIP
2025-03-01,2025,3,Formosa,829,HyG,SIPA-AFIP
2025-03-01,2025,3,Jujuy,2123,HyG,SIPA-AFIP
2025-03-01,2025,3,La Pampa,1049,HyG,SIPA-AFIP
2025-03-01,2025,3,La Rioja,1134,HyG,SIPA-AFIP
2025-03-01,2025,3,Mendoza,13533,HyG,SIPA-AFIP
2025-03-01,2025,3,Misiones,4846,HyG,SIPA-AFIP
2025-03-01,2025,3,Neuquén,10110,HyG,SIPA-AFIP
2025-03-01,2025,3,Río Negro,10414,HyG,SIPA-AFIP
2025-03-01,2025,3,Salta,251,HyG,SIPA-AFIP
2025-03-01,2025,3,San Juan,2914,HyG,SIPA-AFIP
2025-03-01,2025,3,San Luis,1928,HyG,SIPA-AFIP
2025-03-01,2025,3,Santa Cruz,5181,HyG,SIPA-AFIP
2025-03-01,2025,3,Santa Fe,15148,HyG,SIPA-AFIP
2025-03-01,2025,3,Santiago del Estero,3008,HyG,SIPA-AFIP
2025-03-01,2025,3,Tierra del Fuego,3421,HyG,SIPA-AFIP
2025-03-01,2025,3,Tucumán,5197,HyG,SIPA-AFIP
2025-02-01,2025,2,Buenos Aires,98088,HyG,SIPA-AFIP
2025-02-01,2025,2,CABA,100457,HyG,SIPA-AFIP
2025-02-01,2025,2,Catamarca,4222,HyG,SIPA-AFIP
2025-02-01,2025,2,Chaco,1366,HyG,SIPA-AFIP
2025-02-01,2025,2,Chubut,3938,HyG,SIPA-AFIP
2025-02-01,2025,2,Corrientes,3782,HyG,SIPA-AFIP
2025-02-01,2025,2,Córdoba,24717,HyG,SIPA-AFIP
2025-02-01,2025,2,Entre Ríos,4405,HyG,SIPA-AFIP
2025-02-01,2025,2,Formosa,829,HyG,SIPA-AFIP
2025-02-01,2025,2,Jujuy,2123,HyG,SIPA-AFIP
2025-02-01,2025,2,La Pampa,1049,HyG,SIPA-AFIP
2025-02-01,2025,2,La Rioja,1134,HyG,SIPA-AFIP
2025-02-01,2025,2,Mendoza,13533,HyG,SIPA-AFIP
2025-02-01,2025,2,Misiones,4846,HyG,SIPA-AFIP
2025-02-01,2025,2,Neuquén,10110,HyG,SIPA-AFIP
2025-02-01,2025,2,Río Negro,10414,HyG,SIPA-AFIP
2025-02-01,2025,2,Salta,251,HyG,SIPA-AFIP
2025-02-01,2025,2,San Juan,2914,HyG,SIPA-AFIP
