date,market_id,name,market_score,revenue,adr,revpar,occupancy_rate,available_listings,booked_listings,days_available,days_booked,listing_count,days_avg,lead_time_0_6,lead_time_7_14,lead_time_15_30,lead_time_31_60,lead_time_61_90,lead_time_91_None
2026-03,5,Buenos Aires,96.217,1221.508994325727,31.72,41.91,76.18,564,11020,89684,242983,26645.0,6.32,30472.0,14175.0,16383.0,13836.0,5336.0,6573.0
2026-03,89956,Ciudad de Mendoza,87.997,833.8708693441789,25.85,27.97,62.88,47,899,11263,16825,2140.0,5.31,2673.0,1092.0,1207.0,1060.0,431.0,460.0
2026-03,89957,Cordoba,96.734,758.0710361067504,25.38,26.08,61.34,72,1203,15517,21330,2773.0,5.59,3831.0,1613.0,1421.0,925.0,303.0,281.0
2026-03,89961,Mar del Plata,60.052,931.9174380785588,37.68,22.19,37.23,1171,2053,64854,29420,7192.0,9.53,2912.0,1416.0,1643.0,1195.0,433.0,506.0
2026-03,89962,Colonia Caroya,53.798,484.8571428571428,27.14,14.69,18.32,2,3,130,24,10.0,3.9,3.0,4.0,2.0,1.0,0.0,0.0
2026-03,89963,Rosario,97.674,611.4827586206897,22.63,20.48,56.52,47,630,9575,10547,1276.0,5.14,2264.0,705.0,498.0,273.0,81.0,82.0
2026-03,89966,Bahia Blanca,97.943,730.0175438596491,35.79,24.81,50.15,9,127,2154,1845,247.0,4.91,452.0,176.0,112.0,53.0,12.0,24.0
2026-03,89967,Tandil,75.122,832.5636042402826,37.14,27.37,37.57,25,310,6431,3426,645.0,3.92,477.0,277.0,354.0,279.0,108.0,112.0
2026-03,89968,Neuquen,94.115,1074.797153024911,39.78,34.97,56.77,21,146,2440,2515,327.0,4.84,601.0,168.0,145.0,88.0,21.0,11.0
2026-03,89970,Resistencia,93.16,511.203947368421,24.39,16.48,44.38,10,84,1718,1142,178.0,3.77,270.0,68.0,59.0,32.0,17.0,18.0
2026-03,89971,San Miguel de Tucuman,93.751,507.031007751938,20.39,16.92,56.5,20,182,2840,3122,439.0,6.2,514.0,175.0,132.0,94.0,20.0,26.0
2026-03,89972,La Cumbre,53.48,916.5445544554456,37.04,26.91,34.5,18,59,1663,680,145.0,5.72,38.0,27.0,43.0,38.0,10.0,28.0
2026-03,89979,La Rioja,93.732,421.9295774647887,26.64,8.65,24.58,28,24,1321,278,165.0,3.69,112.0,24.0,23.0,11.0,3.0,2.0
2026-03,89988,Rio Cuarto,95.224,611.2820512820513,24.02,20.18,47.58,6,34,661,512,90.0,5.6,153.0,43.0,27.0,16.0,4.0,6.0
2026-03,89991,Formosa,91.919,437.3809523809524,21.66,13.82,43.6,4,29,604,405,75.0,3.79,94.0,28.0,14.0,8.0,2.0,0.0
2026-03,89992,Posadas,94.727,508.1236559139785,21.35,15.61,41.6,40,207,4749,2685,483.0,4.66,632.0,170.0,126.0,77.0,26.0,30.0
2026-03,89993,San Carlos de Bariloche,79.429,1065.016656571775,42.83,33.64,52.38,304,1842,32238,30356,3940.0,5.63,2850.0,1275.0,1727.0,1923.0,881.0,1002.0
2026-03,89997,Rio Grande,93.501,686.3972602739726,31.64,24.06,56.3,3,34,529,541,79.0,7.08,121.0,22.0,24.0,7.0,7.0,13.0
2026-03,90004,San Fernando del Valle de Catamarca,85.54,439.0833333333333,22.16,16.36,44.93,3,43,876,501,122.0,2.68,240.0,78.0,94.0,43.0,10.0,1.0
2026-03,90005,Villa Maria,81.664,542.8311688311688,23.93,15.22,28.48,18,35,1238,362,129.0,5.63,119.0,33.0,33.0,22.0,4.0,6.0
2026-03,90009,Colonia Chapadmalal,54.024,1037.994638069705,49.29,26.33,27.37,93,195,6628,1987,612.0,5.25,244.0,126.0,186.0,149.0,35.0,24.0
2026-03,90010,Necochea,55.784,615.7823529411764,36.75,10.48,22.03,92,84,4339,915,467.0,13.2,102.0,48.0,50.0,31.0,13.0,13.0
2026-03,90015,Ushuaia,85.402,1260.558032282859,37.54,42.58,67.79,28,695,7231,13988,1366.0,4.39,1429.0,641.0,899.0,1156.0,568.0,921.0
2026-03,90022,Villa Carlos Paz,57.393,762.855365474339,41.66,15.47,27.24,204,304,11788,3398,1425.0,6.21,441.0,178.0,224.0,177.0,56.0,75.0
2026-03,90025,La Plata,99.226,607.8672566371681,25.71,20.13,57.12,46,294,4848,5127,648.0,7.44,799.0,277.0,227.0,135.0,44.0,33.0
2026-03,90046,Chascomus,62.203,809.018018018018,45.04,25.66,35.88,5,59,1248,639,131.0,3.44,121.0,77.0,58.0,43.0,13.0,20.0
2026-03,90049,Tanti,54.931,462.3589743589744,37.55,7.47,22.95,20,20,1004,204,120.0,4.22,33.0,13.0,18.0,11.0,2.0,1.0
2026-03,90055,Cosquin,56.591,816.060606060606,23.33,10.11,13.31,32,12,1178,105,148.0,10.51,10.0,5.0,11.0,9.0,2.0,2.0
2026-03,90066,Villa La Angostura,65.376,1461.451111111111,67.86,41.98,40.3,70,228,5460,3140,602.0,4.53,335.0,208.0,239.0,322.0,121.0,190.0
2026-03,90091,Puerto Iguazu,96.995,647.482119205298,25.58,20.53,48.24,40,247,4837,3799,879.0,3.24,1236.0,489.0,609.0,551.0,232.0,317.0
2026-03,90112,Quequen,49.448,569.0731707317074,51.81,8.83,17.32,33,24,1528,213,128.0,4.93,22.0,13.0,9.0,5.0,2.0,3.0
2026-03,90127,Esquel,41.924,524.9842519685039,32.64,15.83,33.1,21,76,2115,793,172.0,4.73,141.0,41.0,37.0,27.0,21.0,35.0
2026-03,90154,Costa Esmeralda,53.804,2159.343347639485,200.74,52.23,25.15,77,150,5403,1339,435.0,4.81,90.0,62.0,110.0,94.0,29.0,34.0
2026-03,90167,San Clemente del Tuyu,63.489,505.1690140845071,30.01,9.96,17.45,23,30,1361,231,153.0,6.4,34.0,23.0,24.0,12.0,4.0,7.0
2026-03,90173,Carhue,61.379,275.4,28.6,7.81,23.32,2,11,303,87,27.0,2.67,21.0,6.0,10.0,4.0,0.0,1.0
2026-03,90180,Carmen de Patagones,67.753,1970.5,61.88,64.08,25.29,1,8,211,66,13.0,3.04,9.0,6.0,3.0,3.0,0.0,2.0
2026-03,90184,Lago Puelo,67.366,550.047619047619,25.26,13.93,27.96,15,31,1067,340,104.0,8.1,57.0,15.0,15.0,20.0,11.0,18.0
2026-03,90203,Las Grutas,63.186,634.5103448275862,49.66,13.3,20.38,40,56,2354,476,300.0,7.41,129.0,40.0,31.0,26.0,5.0,11.0
2026-03,90206,Villa Elisa,43.443,411.36,42.57,13.37,28.36,0,15,346,116,31.0,3.57,16.0,9.0,15.0,10.0,1.0,3.0
2026-03,90220,Choele Choel,77.082,451.2,36.78,16.23,30.77,0,6,126,56,10.0,1.75,35.0,11.0,4.0,3.0,0.0,0.0
