fecha,anio,mes,occ_pct,occ_pct_airroi,occ_p25,occ_p50,occ_p75,occ_p90,adr_usd_airdna,adr_usd_airroi,adr_usd,adr_ars,adr_p25,adr_p50,adr_p75,adr_p90,revenue_usd_airdna,revenue_usd_airroi,revenue_usd,revenue_ars,rev_p25,rev_p50,rev_p75,rev_p90,los_dias,listings,tcn_usd,fuente
2026-03-01,2026,3,5.13,16.0,3.0,19.0,26.0,26.0,27.21,,27.21,137131.3,55616.0,94465.0,261313.0,261313.0,454.0769230769231,,454.0769230769231,702580.7,94465.0,445164.0,1568113.0,1568113.0,5.48,20.0,,AirDNA+AirROI
2026-02-01,2026,2,36.26,24.0,11.0,21.0,36.0,46.0,22.79,71.0,22.79,101589.0,35897.0,57033.0,177948.0,248324.0,399.4444444444445,427.0,399.4444444444445,609887.0,171217.0,466419.0,1067450.0,1490179.0,5.51,20.0,1427.14,AirDNA+AirROI
2026-01-01,2026,1,28.87,24.0,13.0,19.0,39.0,42.0,26.0,56.0,26.0,82859.0,38612.0,59513.0,74391.0,249505.0,519.3076923076923,361.0,519.3076923076923,531700.7,223173.0,447526.0,501843.0,1497264.0,10.04,34.0,1472.74,AirDNA+AirROI
2025-12-01,2025,12,30.11,16.0,3.0,10.0,23.0,28.999999999999996,16.21,50.0,16.21,73736.0,44162.0,47350.0,88561.0,99424.0,167.7575757575758,256.0,167.7575757575758,376033.5,47232.0,92103.0,686049.0,839554.0,2.32,35.0,1471.13,AirDNA+AirROI
2025-11-01,2025,11,19.51,21.0,13.0,17.0,50.0,50.0,18.27,35.0,18.27,50184.5,49594.0,51483.0,56443.0,56443.0,253.1538461538462,217.0,253.1538461538462,315866.0,216088.0,225534.0,772248.0,772248.0,3.56,24.0,1453.67,AirDNA+AirROI
2025-10-01,2025,10,29.94,28.000000000000004,7.000000000000001,13.0,65.0,65.0,12.67,39.0,12.67,56600.0,34243.0,67306.0,68251.0,68251.0,657.0454545454545,388.0,657.0454545454545,567181.3,68487.0,269224.0,1363833.0,1363833.0,4.8,30.0,1463.39,AirDNA+AirROI
2025-09-01,2025,9,24.75,28.999999999999996,10.0,20.0,30.0,83.0,21.6,69.0,21.6,97639.7,53727.0,81476.0,97180.0,243719.0,459.2608695652174,592.0,459.2608695652174,840866.2,244427.0,747451.0,1009591.0,2428921.0,4.91,30.0,1420.5,AirDNA+AirROI
2025-08-01,2025,8,9.95,22.0,10.0,23.0,23.0,52.0,44.5,72.0,44.5,96885.3,54199.0,77933.0,89151.0,251512.0,410.84,426.0,410.84,570920.7,303468.0,406198.0,754536.0,1426416.0,2.29,37.0,1340.65,AirDNA+AirROI
2025-07-01,2025,7,25.77,33.0,19.0,32.0,42.0,81.0,20.17,89.0,20.17,113971.6,59395.0,71793.0,184442.0,255763.0,697.7647058823529,888.0,697.7647058823529,1140187.9,405017.0,738005.0,2221099.0,2588330.0,2.98,34.0,1284.03,AirDNA+AirROI
2025-06-01,2025,6,12.5,12.0,3.0,7.000000000000001,13.0,17.0,9.0,99.0,9.0,118145.2,55970.0,83129.0,220221.0,238523.0,473.6842105263158,303.0,473.6842105263158,362185.8,56679.0,179483.0,727377.0,880882.0,9.78,23.0,1196.33,AirDNA+AirROI
2025-05-01,2025,5,10.32,11.0,3.0,10.0,10.0,36.0,25.34,123.0,25.34,143464.1,59980.0,180292.0,219926.0,243094.0,469.88,324.0,469.88,378527.7,194052.0,376343.0,540994.0,729166.0,4.02,32.0,1166.61,AirDNA+AirROI
2025-04-01,2025,4,12.5,21.0,10.0,13.0,20.0,50.0,24.56,70.0,24.56,79390.2,46669.0,60937.0,85827.0,174122.0,375.875,311.0,375.875,354681.4,257482.0,365839.0,440938.0,522474.0,2.3,49.0,1140.9,AirDNA+AirROI
2025-03-01,2025,3,32.0,15.0,13.0,13.0,16.0,19.0,20.02,129.0,20.02,140079.2,42002.0,88257.0,212454.0,270831.0,456.2954545454546,510.0,456.2954545454546,555516.6,264770.0,332824.0,849605.0,1624776.0,4.92,44.0,1088.38,AirDNA+AirROI
2025-02-01,2025,2,19.05,17.0,14.000000000000002,18.0,18.0,18.0,23.54,297.0,23.54,319992.3,58735.0,71367.0,829875.0,829875.0,394.9,1462.0,394.9,1576103.0,285256.0,293677.0,4149376.0,4149376.0,3.18,16.0,1077.76,AirDNA+AirROI
2025-01-01,2025,1,39.62,38.0,3.0,32.0,77.0,77.0,18.85,102.0,18.85,108610.7,56590.0,65146.0,204096.0,204096.0,546.4285714285714,732.0,546.4285714285714,777900.0,204096.0,565902.0,1563702.0,1563702.0,10.5,14.0,1062.48,AirDNA+AirROI
2024-12-01,2024,12,100.0,8.0,7.000000000000001,7.000000000000001,10.0,10.0,9.0,92.0,9.0,96185.0,26297.0,62707.0,199551.0,199551.0,588.5555555555555,249.0,588.5555555555555,258920.3,52593.0,125415.0,598753.0,598753.0,6.24,9.0,1041.55,AirDNA+AirROI
2024-11-01,2024,11,0.0,28.000000000000004,10.0,27.0,73.0,73.0,9.0,41.0,9.0,41980.0,29581.0,54724.0,60936.0,60936.0,414.0,463.0,414.0,472305.0,88742.0,437794.0,1340005.0,1340005.0,9.58,11.0,1020.92,AirDNA+AirROI
2024-10-01,2024,10,8.16,19.0,7.000000000000001,16.0,26.0,48.0,28.0,44.0,28.0,43867.3,30542.0,46056.0,54782.0,60600.0,453.1,279.0,453.1,279519.7,109564.0,209432.0,264699.0,909478.0,3.43,11.0,1000.92,AirDNA+AirROI
2024-09-01,2024,9,29.03,18.0,13.0,17.0,30.0,40.0,22.89,44.0,22.89,43324.8,35270.0,45851.0,53191.0,60340.0,373.1666666666667,242.0,373.1666666666667,237953.3,176350.0,203994.0,357466.0,550021.0,2.24,12.0,981.27,AirDNA+AirROI
2024-08-01,2024,8,1.2,15.0,7.000000000000001,13.0,26.0,39.0,29.0,46.0,29.0,44468.1,35407.0,49383.0,53669.0,72025.0,273.1818181818182,199.0,273.1818181818182,191475.5,105288.0,216167.0,337295.0,395064.0,1.88,23.0,961.23,AirDNA+AirROI
2024-07-01,2024,7,56.03,30.0,16.0,36.0,45.0,48.0,27.98,56.0,27.98,52608.6,29415.0,38367.0,55358.0,187816.0,642.84,473.0,642.84,444967.9,172652.0,362661.0,690609.0,1314533.0,3.2,27.0,941.73,AirDNA+AirROI
2024-06-01,2024,6,56.94,23.0,10.0,17.0,40.0,56.99999999999999,18.89,50.0,18.89,46389.4,34859.0,48624.0,54881.0,63819.0,287.88,323.0,287.88,297642.0,104577.0,319094.0,412051.0,658745.0,8.41,27.0,922.38,AirDNA+AirROI
2024-05-01,2024,5,42.7,13.0,10.0,13.0,19.0,23.0,18.93,64.0,18.93,58247.1,33864.0,44948.0,62142.0,192448.0,330.1904761904762,219.0,330.1904761904762,198230.3,167574.0,179793.0,290636.0,384896.0,2.98,36.0,904.79,AirDNA+AirROI
2024-04-01,2024,4,12.61,17.0,13.0,13.0,20.0,30.0,18.53,95.0,18.53,84495.9,44810.0,66784.0,130294.0,160282.0,397.1818181818182,528.0,397.1818181818182,468449.8,147356.0,379161.0,521347.0,789345.0,4.59,36.0,887.08,AirDNA+AirROI
