fecha,localidad,viajeros,pernoctes,estadia,viajeros_ic_low,viajeros_ic_high,occ_informal_pct,ibt_termas,ibt_compuesto,tcn_usd,anio,mes,fuente,flag_estimado
2026-03-01,Santiago del Estero,21982.0,37416.0,3.23,17586.0,26379.0,39.35,,,,2026,3,ESTIMADO_AIRDNA+IBT,1
2026-03-01,Termas,7184.0,18619.0,3.39,5747.0,8621.0,5.13,,,,2026,3,ESTIMADO_AIRDNA+IBT,1
2026-02-01,Santiago del Estero,16751.0,29035.0,2.81,13401.0,20101.0,36.18,,,1427.14,2026,2,ESTIMADO_AIRDNA+IBT,1
2026-02-01,Termas,33945.0,95155.0,3.4,27156.0,40734.0,36.26,,,1427.14,2026,2,ESTIMADO_AIRDNA+IBT,1
2026-01-01,Santiago del Estero,20705.0,34398.0,3.36,16564.0,24846.0,36.06,,,1472.74,2026,1,ESTIMADO_AIRDNA+IBT,1
2026-01-01,Termas,21684.0,64944.0,4.76,17347.0,26021.0,28.87,,,1472.74,2026,1,ESTIMADO_AIRDNA+IBT,1
2025-12-01,Santiago del Estero,15244.0,27315.0,2.81,12195.0,18293.0,31.47,17,9.5,1471.13,2025,12,ESTIMADO_AIRDNA+IBT,1
2025-12-01,Termas,21273.0,63346.0,2.45,17018.0,25528.0,30.11,17,9.5,1471.13,2025,12,ESTIMADO_AIRDNA+IBT,1
2025-11-01,Santiago del Estero,20774.0,31297.0,1.5099999904632568,16619.2,24928.8,,19,11.7,1453.67,2025,11,EOH_REAL,0
2025-11-01,Termas,27520.0,56530.0,2.049999952316284,22016.0,33024.0,,19,11.7,1453.67,2025,11,EOH_REAL,0
2025-10-01,Santiago del Estero,20764.0,35378.0,1.7000000476837158,16611.2,24916.8,,20,11.6,1463.39,2025,10,EOH_REAL,0
2025-10-01,Termas,34194.0,73224.0,2.140000104904175,27355.2,41032.8,,20,11.6,1463.39,2025,10,EOH_REAL,0
2025-09-01,Santiago del Estero,21695.0,35179.0,1.6200000047683716,17356.0,26034.0,,31,17.5,1420.5,2025,9,EOH_REAL,0
2025-09-01,Termas,49412.0,113136.0,2.2899999618530273,39529.6,59294.4,,31,17.5,1420.5,2025,9,EOH_REAL,0
2025-08-01,Santiago del Estero,24850.0,37356.0,1.5,19880.0,29820.0,,39,21.1,1340.65,2025,8,EOH_REAL,0
2025-08-01,Termas,56678.0,132040.0,2.3299999237060547,45342.4,68013.6,,39,21.1,1340.65,2025,8,EOH_REAL,0
2025-07-01,Santiago del Estero,30087.0,51373.0,1.7100000381469727,24069.6,36104.4,,49,26.5,1284.03,2025,7,EOH_REAL,0
2025-07-01,Termas,87658.0,242071.0,2.759999990463257,70126.4,105189.6,,49,26.5,1284.03,2025,7,EOH_REAL,0
2025-06-01,Santiago del Estero,24993.0,36738.0,1.4700000286102295,19994.4,29991.6,,38,21.2,1196.33,2025,6,EOH_REAL,0
2025-06-01,Termas,51866.0,119987.0,2.309999942779541,41492.8,62239.2,,38,21.2,1196.33,2025,6,EOH_REAL,0
2025-05-01,Santiago del Estero,24426.0,38728.0,1.590000033378601,19540.8,29311.2,,37,20.4,1166.61,2025,5,EOH_REAL,0
2025-05-01,Termas,49558.0,129732.0,2.619999885559082,39646.4,59469.6,,37,20.4,1166.61,2025,5,EOH_REAL,0
2025-04-01,Santiago del Estero,21906.0,36118.0,1.649999976158142,17524.8,26287.2,,32,18.4,1140.9,2025,4,EOH_REAL,0
2025-04-01,Termas,40548.0,100844.0,2.490000009536743,32438.4,48657.6,,32,18.4,1140.9,2025,4,EOH_REAL,0
