fecha,anio,mes,clasificacion_vuelo,clase_vuelo,flag_cabotaje,flag_internacional,flag_regular,aerolinea,origen_oaci,origen_aeropuerto,origen_localidad,origen_provincia,origen_pais,origen_continente,destino_oaci,destino_aeropuerto,destino_localidad,destino_provincia,destino_pais,destino_continente,ruta_oaci,ruta_provincia,pasajeros,asientos,vuelos,load_factor_pct,pax_internacionales_entrantes,pax_internacionales_salientes
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,3344.0,3897.0,37.0,85.8,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,3311.0,3879.0,34.0,85.4,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Flybondi,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,3171.0,3687.0,21.0,86.0,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Flybondi,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,2049.0,2458.0,14.0,83.4,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Flybondi,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SAEZ,Aeropuerto Int. Ministro Pistarini,Ezeiza,Buenos Aires,Argentina,América del Sur,SAEZ ↔ SANE,Buenos Aires ↔ Santiago del Estero,887.0,1041.0,7.0,85.2,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SANH,Aeropuerto Int. Termas de Río Hondo,Rio Hondo,Santiago del Estero,Argentina,América del Sur,SABE ↔ SANH,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,713.0,912.0,11.0,78.2,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SAEZ,Aeropuerto Int. Ministro Pistarini,Ezeiza,Buenos Aires,Argentina,América del Sur,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SAEZ ↔ SANE,Buenos Aires ↔ Santiago del Estero,619.0,720.0,8.0,86.0,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SAEZ,Aeropuerto Int. Ministro Pistarini,Ezeiza,Buenos Aires,Argentina,América del Sur,SAEZ ↔ SANE,Buenos Aires ↔ Santiago del Estero,591.0,761.0,7.0,77.7,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SANH,Aeropuerto Int. Termas de Río Hondo,Rio Hondo,Santiago del Estero,Argentina,América del Sur,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SABE ↔ SANH,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,584.0,768.0,9.0,76.0,,
2026-03-01,2026,3,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SANH,Aeropuerto Int. Termas de Río Hondo,Rio Hondo,Santiago del Estero,Argentina,América del Sur,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SANE ↔ SANH,Santiago del Estero ↔ Santiago del Estero,31.0,48.0,1.0,64.6,,
2026-02-01,2026,2,Cabotaje,Regular,1,0,1,Flybondi,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,3943.0,4348.0,24.0,90.7,,
2026-02-01,2026,2,Cabotaje,Regular,1,0,1,Flybondi,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,3522.0,3876.0,22.0,90.9,,
2026-02-01,2026,2,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,2785.0,3202.0,29.0,87.0,,
2026-02-01,2026,2,Cabotaje,Regular,1,0,1,Aerolíneas Argentinas,SANE,Vcom. Angel De La Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,América del Sur,SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,América del Sur,SABE ↔ SANE,Ciudad Autónoma de Buenos Aires ↔ Santiago del Estero,2488.0,2696.0,26.0,92.3,,
