fecha,anio,viajeros_total,pernoctes_total,estadia_promedio,tcn_usd,gasto_diario_ars,ingreso_potencial_ars,ingreso_potencial_usd,ingreso_capturado_ars,icv_pct,nota_calidad,flag_covid
2025-11-01,2025,24287.0,44194.0,1.82,1453.67,15000,663035100.0,456111.0,251953338.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-10-01,2025,27583.0,54570.0,1.98,1463.39,15000,819215100.0,559806.0,311301738.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-09-01,2025,35645.0,74385.0,2.09,1420.5,15000,1117470750.0,786674.0,424638885.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-08-01,2025,40861.0,84860.0,2.08,1340.65,15000,1274863200.0,950929.0,484448016.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-07-01,2025,59037.0,147030.0,2.49,1284.03,15000,2205031950.0,1717274.0,837912141.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-06-01,2025,38740.0,78880.0,2.04,1196.33,15000,1185444000.0,990901.0,450468720.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-05-01,2025,37090.0,84436.0,2.28,1166.61,15000,1268478000.0,1087320.0,482021640.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-04-01,2025,31403.0,68877.0,2.19,1140.9,15000,1031588550.0,904188.0,392003649.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-03-01,2025,31842.0,73102.0,2.3,1088.38,15000,1098549000.0,1009343.0,417448620.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-02-01,2025,16510.0,35132.0,2.13,1077.76,15000,527494500.0,489436.0,200447910.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2025-01-01,2025,16701.0,34524.0,2.07,1062.48,15000,518566050.0,488071.0,197055099.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2024-12-01,2024,19105.0,39639.0,2.07,1041.55,15000,593210250.0,569546.0,225419895.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2024-11-01,2024,20131.0,44201.0,2.2,1020.92,15000,664323000.0,650710.0,252442740.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
2024-10-01,2024,32806.0,77402.0,2.36,1000.92,15000,1161332400.0,1160265.0,441306312.0,38.0,N1 estimación — con IIBB SDE (N2) se convierte en dato real,0
