fecha,ibt,dia_rel,fase,anio,label
2025-01-19,27,-55,baseline,2025,D-55
2025-01-20,25,-54,baseline,2025,D-54
2025-01-21,24,-53,baseline,2025,D-53
2025-01-22,30,-52,baseline,2025,D-52
2025-01-23,19,-51,baseline,2025,D-51
2025-01-24,25,-50,baseline,2025,D-50
2025-01-25,28,-49,baseline,2025,D-49
2025-01-26,28,-48,baseline,2025,D-48
2025-01-27,28,-47,baseline,2025,D-47
2025-01-28,24,-46,baseline,2025,D-46
2025-01-29,27,-45,baseline,2025,D-45
2025-01-30,24,-44,baseline,2025,D-44
2025-01-31,19,-43,baseline,2025,D-43
2025-02-01,22,-42,baseline,2025,D-42
2025-02-02,19,-41,baseline,2025,D-41
2025-02-03,18,-40,baseline,2025,D-40
2025-02-04,24,-39,baseline,2025,D-39
2025-02-05,31,-38,baseline,2025,D-38
2025-02-06,21,-37,baseline,2025,D-37
2025-02-07,23,-36,baseline,2025,D-36
2025-02-08,18,-35,baseline,2025,D-35
2025-02-09,26,-34,baseline,2025,D-34
2025-02-10,20,-33,baseline,2025,D-33
2025-02-11,21,-32,baseline,2025,D-32
2025-02-12,15,-31,baseline,2025,D-31
2025-02-13,21,-30,baseline,2025,D-30
2025-02-14,22,-29,baseline,2025,D-29
2025-02-15,30,-28,baseline,2025,D-28
2025-02-16,31,-27,baseline,2025,D-27
2025-02-17,23,-26,baseline,2025,D-26
2025-02-18,18,-25,baseline,2025,D-25
2025-02-19,19,-24,baseline,2025,D-24
2025-02-20,20,-23,baseline,2025,D-23
2025-02-21,20,-22,baseline,2025,D-22
2025-02-22,22,-21,baseline,2025,D-21
2025-02-23,28,-20,baseline,2025,D-20
2025-02-24,28,-19,baseline,2025,D-19
2025-02-25,21,-18,baseline,2025,D-18
2025-02-26,27,-17,baseline,2025,D-17
2025-02-27,33,-16,baseline,2025,D-16
2025-02-28,25,-15,baseline,2025,D-15
2025-03-01,32,-14,build_up,2025,D-14
2025-03-02,41,-13,build_up,2025,D-13
2025-03-03,35,-12,build_up,2025,D-12
2025-03-04,28,-11,build_up,2025,D-11
2025-03-05,25,-10,build_up,2025,D-10
2025-03-06,26,-9,build_up,2025,D-9
2025-03-07,36,-8,build_up,2025,D-8
2025-03-08,37,-7,build_up,2025,D-7
2025-03-09,31,-6,build_up,2025,D-6
2025-03-10,38,-5,build_up,2025,D-5
2025-03-11,37,-4,build_up,2025,D-4
2025-03-12,48,-3,build_up,2025,D-3
2025-03-13,50,-2,build_up,2025,D-2
2025-03-14,81,-1,build_up,2025,D-1
2025-03-15,100,0,carrera,2025,D+0
2025-03-16,98,1,carrera,2025,D+1
2025-03-17,38,2,carrera,2025,D+2
2025-03-18,32,3,arrastre,2025,D+3
2025-03-19,26,4,arrastre,2025,D+4
2025-03-20,19,5,arrastre,2025,D+5
2025-03-21,28,6,arrastre,2025,D+6
2025-03-22,33,7,arrastre,2025,D+7
2025-03-23,26,8,arrastre,2025,D+8
2025-03-24,25,9,arrastre,2025,D+9
2025-03-25,24,10,arrastre,2025,D+10
2025-03-26,20,11,retorno,2025,D+11
2025-03-27,17,12,retorno,2025,D+12
2025-03-28,21,13,retorno,2025,D+13
2025-03-29,26,14,retorno,2025,D+14
2025-03-30,20,15,retorno,2025,D+15
2025-03-31,24,16,retorno,2025,D+16
