fecha,localidad,viajeros_total,viajeros_res,viajeros_no_res,pernoctes_total,estadia_promedio,ibt_termas,ibt_sde,ibt_motogp,ibt_compuesto,tcn_usd,anio,mes,flag_covid
2025-11-01,Santiago del Estero,20774.0,10247.0,,31297.0,1.51,26,26,5,21.8,1453.67,2025,11,0
2025-11-01,Termas,27520.0,13623.0,137.0,56530.0,2.05,26,26,5,21.8,1453.67,2025,11,0
2025-10-01,Santiago del Estero,20764.0,10278.0,,35378.0,1.7,27,17,4,19.4,1463.39,2025,10,0
2025-10-01,Termas,34194.0,16679.0,418.0,73224.0,2.14,27,17,4,19.4,1463.39,2025,10,0
2025-09-01,Santiago del Estero,21695.0,10798.0,,35179.0,1.62,43,17,8,28.2,1420.5,2025,9,0
2025-09-01,Termas,49412.0,24664.0,,113136.0,2.29,43,17,8,28.2,1420.5,2025,9,0
2025-08-01,Santiago del Estero,24850.0,12366.0,,37356.0,1.5,54,18,5,33.4,1340.65,2025,8,0
2025-08-01,Termas,56678.0,28301.0,,132040.0,2.33,54,18,5,33.4,1340.65,2025,8,0
2025-07-01,Santiago del Estero,30087.0,14955.0,,51373.0,1.71,67,32,7,44.5,1284.03,2025,7,0
2025-07-01,Termas,87658.0,43753.0,,242071.0,2.76,67,32,7,44.5,1284.03,2025,7,0
2025-06-01,Santiago del Estero,24993.0,12224.0,,36738.0,1.47,53,20,8,34.1,1196.33,2025,6,0
2025-06-01,Termas,51866.0,25895.0,,119987.0,2.31,53,20,8,34.1,1196.33,2025,6,0
2025-05-01,Santiago del Estero,24426.0,12115.0,,38728.0,1.59,49,27,5,33.6,1166.61,2025,5,0
2025-05-01,Termas,49558.0,24475.0,304.0,129732.0,2.62,49,27,5,33.6,1166.61,2025,5,0
2025-04-01,Santiago del Estero,21906.0,10777.0,,36118.0,1.65,42,20,9,28.8,1140.9,2025,4,0
2025-04-01,Termas,40548.0,20007.0,267.0,100844.0,2.49,42,20,9,28.8,1140.9,2025,4,0
2025-03-01,Santiago del Estero,21136.0,10369.0,,35934.0,1.7,50,18,39,38.2,1088.38,2025,3,0
2025-03-01,Termas,42150.0,17941.0,3134.0,109354.0,2.59,50,18,39,38.2,1088.38,2025,3,0
2025-02-01,Santiago del Estero,16566.0,8116.0,,30099.0,1.82,33,15,9,22.8,1077.76,2025,2,0
2025-02-01,Termas,16120.0,7898.0,162.0,38274.0,2.37,33,15,9,22.8,1077.76,2025,2,0
2025-01-01,Santiago del Estero,16335.0,8024.0,,26859.0,1.64,32,24,5,24.2,1062.48,2025,1,0
2025-01-01,Termas,16780.0,8206.0,184.0,41512.0,2.47,32,24,5,24.2,1062.48,2025,1,0
2024-12-01,Santiago del Estero,20244.0,9701.0,421.0,36744.0,1.82,17,28,2,17.3,1041.55,2024,12,0
2024-12-01,Termas,17885.0,8902.0,,42433.0,2.37,17,28,2,17.3,1041.55,2024,12,0
2024-11-01,Santiago del Estero,18042.0,8910.0,111.0,31376.0,1.74,25,12,9,17.9,1020.92,2024,11,0
2024-11-01,Termas,22160.0,11050.0,,56919.0,2.57,25,12,9,17.9,1020.92,2024,11,0
2024-10-01,Santiago del Estero,20590.0,10086.0,209.0,38890.0,1.89,34,25,15,27.5,1000.92,2024,10,0
2024-10-01,Termas,45022.0,22239.0,272.0,115914.0,2.57,34,25,15,27.5,1000.92,2024,10,0
2024-09-01,Santiago del Estero,24294.0,11686.0,461.0,43214.0,1.78,42,19,12,29.1,981.27,2024,9,0
2024-09-01,Termas,52960.0,25690.0,790.0,138988.0,2.62,42,19,12,29.1,981.27,2024,9,0
2024-08-01,Santiago del Estero,25672.0,12729.0,107.0,42326.0,1.65,47,22,6,31.3,961.23,2024,8,0
2024-08-01,Termas,72840.0,36396.0,,241054.0,3.31,47,22,6,31.3,961.23,2024,8,0
2024-07-01,Santiago del Estero,32296.0,15976.0,172.0,54056.0,1.67,68,28,3,43.0,941.73,2024,7,0
2024-07-01,Termas,104529.0,52233.0,,301188.0,2.88,68,28,3,43.0,941.73,2024,7,0
2024-06-01,Santiago del Estero,20877.0,10408.0,,33322.0,1.6,54,21,4,34.1,922.38,2024,6,0
2024-06-01,Termas,71909.0,35930.0,,219025.0,3.05,54,21,4,34.1,922.38,2024,6,0
2024-05-01,Santiago del Estero,23231.0,11578.0,,37019.0,1.59,56,34,4,39.0,904.79,2024,5,0
2024-05-01,Termas,47275.0,23591.0,,130257.0,2.76,56,34,4,39.0,904.79,2024,5,0
2024-04-01,Santiago del Estero,19172.0,9451.0,135.0,31548.0,1.65,38,20,6,26.2,887.08,2024,4,0
2024-04-01,Termas,31928.0,15839.0,125.0,77996.0,2.44,38,20,6,26.2,887.08,2024,4,0
2024-03-01,Santiago del Estero,18212.0,8992.0,114.0,30864.0,1.69,32,17,6,22.3,869.55,2024,3,0
2024-03-01,Termas,24882.0,12336.0,105.0,63284.0,2.54,32,17,6,22.3,869.55,2024,3,0
2024-02-01,Santiago del Estero,15730.0,7703.0,162.0,25116.0,1.6,34,23,2,24.3,853.02,2024,2,0
2024-02-01,Termas,13131.0,6540.0,,36760.0,2.8,34,23,2,24.3,853.02,2024,2,0
2024-01-01,Santiago del Estero,15590.0,7652.0,143.0,24242.0,1.55,37,42,7,32.5,837.4,2024,1,0
2024-01-01,Termas,14964.0,7440.0,,45169.0,3.02,37,42,7,32.5,837.4,2024,1,0
2023-12-01,Santiago del Estero,18801.0,9263.0,,32938.0,1.75,27,21,2,20.2,638.97,2023,12,0
2023-12-01,Termas,12709.0,6315.0,,38112.0,3.0,27,21,2,20.2,638.97,2023,12,0
2023-11-01,Santiago del Estero,21953.0,10962.0,,35909.0,1.64,29,32,7,25.5,353.44,2023,11,0
2023-11-01,Termas,17700.0,8826.0,,47946.0,2.71,29,32,7,25.5,353.44,2023,11,0
2023-10-01,Santiago del Estero,23269.0,11584.0,,42763.0,1.84,33,23,10,25.4,350.0,2023,10,0
2023-10-01,Termas,35310.0,17455.0,200.0,95900.0,2.72,33,23,10,25.4,350.0,2023,10,0
2023-09-01,Santiago del Estero,28184.0,13949.0,143.0,53798.0,1.91,54,29,6,36.9,350.01,2023,9,0
2023-09-01,Termas,42606.0,20995.0,308.0,123644.0,2.9,54,29,6,36.9,350.01,2023,9,0
2023-08-01,Santiago del Estero,24512.0,12105.0,151.0,43410.0,1.77,52,28,3,35.0,321.62,2023,8,0
2023-08-01,Termas,56770.0,28008.0,377.0,171284.0,3.02,52,28,3,35.0,321.62,2023,8,0
2023-07-01,Santiago del Estero,33306.0,16413.0,240.0,58250.0,1.75,88,49,1,58.9,265.98,2023,7,0
2023-07-01,Termas,81002.0,40182.0,319.0,272518.0,3.36,88,49,1,58.9,265.98,2023,7,0
2023-06-01,Santiago del Estero,25926.0,12682.0,281.0,44238.0,1.71,67,35,4,44.8,248.36,2023,6,0
2023-06-01,Termas,54684.0,27200.0,142.0,169290.0,3.1,67,35,4,44.8,248.36,2023,6,0
2023-05-01,Santiago del Estero,27186.0,13108.0,485.0,49840.0,1.83,69,42,3,47.7,231.09,2023,5,0
2023-05-01,Termas,34377.0,17145.0,,103610.0,3.01,69,42,3,47.7,231.09,2023,5,0
2023-04-01,Santiago del Estero,27030.0,13338.0,177.0,47634.0,1.76,58,34,22,43.6,215.79,2023,4,0
2023-04-01,Termas,28196.0,13107.0,991.0,75456.0,2.68,58,34,22,43.6,215.79,2023,4,0
2023-03-01,Santiago del Estero,26516.0,13214.0,,43908.0,1.66,49,45,20,42.0,202.92,2023,3,0
2023-03-01,Termas,22498.0,9653.0,1596.0,56246.0,2.5,49,45,20,42.0,202.92,2023,3,0
2023-02-01,Santiago del Estero,23001.0,11462.0,,40618.0,1.77,42,47,6,36.3,191.97,2023,2,0
2023-02-01,Termas,8251.0,4120.0,,28966.0,3.51,42,47,6,36.3,191.97,2023,2,0
2023-01-01,Santiago del Estero,22594.0,11158.0,139.0,36656.0,1.62,39,56,5,37.3,182.06,2023,1,0
2023-01-01,Termas,6642.0,3321.0,,26262.0,3.95,39,56,5,37.3,182.06,2023,1,0
2022-12-01,Santiago del Estero,17464.0,8525.0,207.0,31672.0,1.81,27,26,3,21.9,172.42,2022,12,0
2022-12-01,Termas,8989.0,4489.0,,28816.0,3.21,27,26,3,21.9,172.42,2022,12,0
2022-11-01,Santiago del Estero,22167.0,11061.0,,36231.0,1.63,27,32,6,24.3,162.07,2022,11,0
2022-11-01,Termas,13747.0,6849.0,,38310.0,2.79,27,32,6,24.3,162.07,2022,11,0
2022-10-01,Santiago del Estero,26680.0,13170.0,170.0,47582.0,1.78,44,39,9,35.5,152.05,2022,10,0
2022-10-01,Termas,28942.0,14173.0,298.0,81130.0,2.8,44,39,9,35.5,152.05,2022,10,0
2022-09-01,Santiago del Estero,30270.0,14883.0,252.0,51284.0,1.69,52,33,7,37.3,143.09,2022,9,0
2022-09-01,Termas,39134.0,19542.0,,119866.0,3.06,52,33,7,37.3,143.09,2022,9,0
2022-08-01,Santiago del Estero,30276.0,15023.0,115.0,54386.0,1.8,73,41,5,49.8,135.29,2022,8,0
2022-08-01,Termas,58162.0,28308.0,773.0,195328.0,3.36,73,41,5,49.8,135.29,2022,8,0
2022-07-01,Santiago del Estero,38376.0,19050.0,138.0,72448.0,1.89,100,60,3,68.6,128.39,2022,7,0
2022-07-01,Termas,92794.0,46360.0,,289623.0,3.12,100,60,3,68.6,128.39,2022,7,0
2022-06-01,Santiago del Estero,26096.0,12911.0,137.0,47446.0,1.82,83,48,6,57.1,122.66,2022,6,0
2022-06-01,Termas,46317.0,23132.0,,161005.0,3.48,83,48,6,57.1,122.66,2022,6,0
