fecha,localidad,viajeros,pernoctes,estadia,viajeros_ic_low,viajeros_ic_high,occ_informal_pct,ibt_termas,ibt_compuesto,tcn_usd,anio,mes,fuente,flag_estimado,modelo_r2,modelo_mae,modelo_rmse
2026-04-01,Santiago del Estero,21234.0,31851.0,1.8,18539.0,23929.0,,,26.7,,2026,4,ESTIMADO_OLS,1,0.818,1647.0,2105.0
2026-04-01,Termas,36729.0,55093.5,1.8,25918.0,47540.0,,,26.7,,2026,4,ESTIMADO_OLS,1,0.871,6643.0,8446.0
2026-03-01,Santiago del Estero,21278.0,31917.0,1.8,18583.0,23972.0,39.35,,28.8,1423.24,2026,3,ESTIMADO_OLS,1,0.818,1647.0,2105.0
2026-03-01,Termas,28865.0,43297.5,1.8,18054.0,39676.0,5.13,,28.8,1423.24,2026,3,ESTIMADO_OLS,1,0.871,6643.0,8446.0
2026-02-01,Santiago del Estero,19898.0,29847.0,1.8,17203.0,22593.0,36.18,,26.5,1427.14,2026,2,ESTIMADO_OLS,1,0.818,1647.0,2105.0
2026-02-01,Termas,26067.0,39100.5,1.8,15256.0,36879.0,36.26,,26.5,1427.14,2026,2,ESTIMADO_OLS,1,0.871,6643.0,8446.0
2026-01-01,Santiago del Estero,19851.0,29776.5,1.8,17156.0,22546.0,36.06,,27.4,1472.74,2026,1,ESTIMADO_OLS,1,0.818,1647.0,2105.0
2026-01-01,Termas,28879.0,43318.5,1.8,18068.0,39691.0,28.87,,27.4,1472.74,2026,1,ESTIMADO_OLS,1,0.871,6643.0,8446.0
2025-12-01,Santiago del Estero,17137.0,25705.5,1.8,14442.0,19832.0,31.47,,16.3,1471.13,2025,12,ESTIMADO_OLS,1,0.818,1647.0,2105.0
2025-12-01,Termas,22315.0,33472.5,1.8,11503.0,33126.0,30.11,,16.3,1471.13,2025,12,ESTIMADO_OLS,1,0.871,6643.0,8446.0
2025-11-01,Santiago del Estero,20774.0,31297.0,1.51,16619.2,24928.8,,26.0,21.8,1453.67,2025,11,EOH_REAL,0,,,
2025-11-01,Termas,27520.0,56530.0,2.05,22016.0,33024.0,,26.0,21.8,1453.67,2025,11,EOH_REAL,0,,,
2025-10-01,Santiago del Estero,20764.0,35378.0,1.7,16611.2,24916.8,,27.0,19.4,1463.39,2025,10,EOH_REAL,0,,,
2025-10-01,Termas,34194.0,73224.0,2.14,27355.2,41032.8,,27.0,19.4,1463.39,2025,10,EOH_REAL,0,,,
2025-09-01,Santiago del Estero,21695.0,35179.0,1.62,17356.0,26034.0,,43.0,28.2,1420.5,2025,9,EOH_REAL,0,,,
2025-09-01,Termas,49412.0,113136.0,2.29,39529.6,59294.4,,43.0,28.2,1420.5,2025,9,EOH_REAL,0,,,
2025-08-01,Santiago del Estero,24850.0,37356.0,1.5,19880.0,29820.0,,54.0,33.4,1340.65,2025,8,EOH_REAL,0,,,
2025-08-01,Termas,56678.0,132040.0,2.33,45342.4,68013.6,,54.0,33.4,1340.65,2025,8,EOH_REAL,0,,,
2025-07-01,Santiago del Estero,30087.0,51373.0,1.71,24069.6,36104.4,,67.0,44.5,1284.03,2025,7,EOH_REAL,0,,,
2025-07-01,Termas,87658.0,242071.0,2.76,70126.4,105189.6,,67.0,44.5,1284.03,2025,7,EOH_REAL,0,,,
2025-06-01,Santiago del Estero,24993.0,36738.0,1.47,19994.4,29991.6,,53.0,34.1,1196.33,2025,6,EOH_REAL,0,,,
2025-06-01,Termas,51866.0,119987.0,2.31,41492.8,62239.2,,53.0,34.1,1196.33,2025,6,EOH_REAL,0,,,
2025-05-01,Santiago del Estero,24426.0,38728.0,1.59,19540.8,29311.2,,49.0,33.6,1166.61,2025,5,EOH_REAL,0,,,
2025-05-01,Termas,49558.0,129732.0,2.62,39646.4,59469.6,,49.0,33.6,1166.61,2025,5,EOH_REAL,0,,,
2025-04-01,Santiago del Estero,21906.0,36118.0,1.65,17524.8,26287.2,,42.0,28.8,1140.9,2025,4,EOH_REAL,0,,,
2025-04-01,Termas,40548.0,100844.0,2.49,32438.4,48657.6,,42.0,28.8,1140.9,2025,4,EOH_REAL,0,,,
2025-03-01,Santiago del Estero,21136.0,35934.0,1.7,16908.8,25363.2,,50.0,38.2,1088.38,2025,3,EOH_REAL,0,,,
2025-03-01,Termas,42150.0,109354.0,2.59,33720.0,50580.0,,50.0,38.2,1088.38,2025,3,EOH_REAL,0,,,
2025-02-01,Santiago del Estero,16566.0,30099.0,1.82,13252.8,19879.2,,33.0,22.8,1077.76,2025,2,EOH_REAL,0,,,
2025-02-01,Termas,16120.0,38274.0,2.37,12896.0,19344.0,,33.0,22.8,1077.76,2025,2,EOH_REAL,0,,,
2025-01-01,Santiago del Estero,16335.0,26859.0,1.64,13068.0,19602.0,,32.0,24.2,1062.48,2025,1,EOH_REAL,0,,,
2025-01-01,Termas,16780.0,41512.0,2.47,13424.0,20136.0,,32.0,24.2,1062.48,2025,1,EOH_REAL,0,,,
