provincia,anio,istp_nivel,istp_ranking,istp_trayectoria,cuadrante_2025,es_sde,comp_demanda,comp_ocupacion,comp_aerea,comp_terrestre,comp_plazas,comp_establecimientos
Ciudad Autónoma de Buenos Aires,2025,91.88,1,84.38,II,0,,,,,,
Córdoba,2025,87.92,2,92.34,I,0,,,,,,
Buenos Aires,2025,82.92,3,93.56,I,0,,,,,,
Río Negro,2025,80.0,4,102.46,I,0,,,,,,
Misiones,2025,79.58,5,101.46,I,0,,,,,,
Neuquén,2025,78.96,6,88.62,I,0,,,,,,
Mendoza,2025,77.08,7,86.81,I,0,,,,,,
Salta,2025,66.67,8,75.1,II,0,,,,,,
Tierra del Fuego,2025,64.17,9,118.82,I,0,,,,,,
Santa Fe,2025,61.25,10,87.5,I,0,,,,,,
Tucumán,2025,58.96,11,72.3,II,0,,,,,,
Santiago del Estero,2025,57.92,12,90.79,I,1,37.5,58.33,41.67,50.0,50.0,45.83
Santa Cruz,2025,54.17,13,82.4,II,0,,,,,,
Jujuy,2025,47.5,14,188.02,III,0,,,,,,
Chaco,2025,46.04,15,88.4,III,0,,,,,,
Entre Ríos,2025,44.17,16,98.21,III,0,,,,,,
La Pampa,2025,35.6,17,91.4,III,0,,,,,,
San Luis,2025,28.54,18,43.2,IV,0,,,,,,
Chubut,2025,29.17,19,78.8,IV,0,,,,,,
San Juan,2025,25.42,20,67.5,IV,0,,,,,,
Corrientes,2025,23.13,21,72.05,IV,0,,,,,,
Catamarca,2025,17.92,22,81.52,IV,0,,,,,,
Formosa,2025,13.75,23,69.71,IV,0,,,,,,
La Rioja,2025,7.5,24,58.57,IV,0,,,,,,
Santiago del Estero,2019,51.67,13,100.0,I,1,,,,,,
Santiago del Estero,2020,29.17,14,41.2,IV,1,,,,,,
Santiago del Estero,2021,37.5,11,68.4,IV,1,,,,,,
Santiago del Estero,2022,40.0,16,85.3,III,1,,,,,,
Santiago del Estero,2023,48.33,12,94.1,III,1,,,,,,
Santiago del Estero,2024,53.75,11,97.5,I,1,,,,,,
