anio,par_origen_destino,viajes,asientos,pasajeros,load_factor_pct,origen,destino,flag_sde
2024,Salta-Salvador Mazza,2913,179402,122294,68.2,Salta,Salvador Mazza,0
2024,Ciudad Autónoma De Buenos Aires-San Fernando Del Valle De Catamarca,2049,119060,116414,97.8,Ciudad Autónoma De Buenos Aires,San Fernando Del Valle De Catamarca,0
2024,Salvador Mazza-Salta,2780,170752,115060,67.4,Salvador Mazza,Salta,0
2024,San Fernando Del Valle De Catamarca-Ciudad Autónoma De Buenos Aires,2040,118562,114835,96.9,San Fernando Del Valle De Catamarca,Ciudad Autónoma De Buenos Aires,0
2024,San Miguel De Tucumán-Santiago Del Estero,5937,346205,112979,32.6,San Miguel De Tucumán,Santiago Del Estero,1
2024,Santiago Del Estero-San Miguel De Tucumán,5495,318943,107082,33.6,Santiago Del Estero,San Miguel De Tucumán,1
2024,San Miguel De Tucumán-La Plata,1035,59261,105262,177.6,San Miguel De Tucumán,La Plata,0
2024,San Salvador De Jujuy-Rio Gallegos,714,42378,96168,226.9,San Salvador De Jujuy,Rio Gallegos,0
2024,San Salvador De Jujuy-Salta,4039,213905,92814,43.4,San Salvador De Jujuy,Salta,0
2024,Rio Gallegos-San Salvador De Jujuy,722,42883,88918,207.4,Rio Gallegos,San Salvador De Jujuy,0
2024,San Miguel De Tucumán-Córdoba,1811,102167,87165,85.3,San Miguel De Tucumán,Córdoba,0
2024,La Plata-San Miguel De Tucumán,970,51595,87003,168.6,La Plata,San Miguel De Tucumán,0
2024,Salta-San Salvador De Jujuy,3553,187391,85410,45.6,Salta,San Salvador De Jujuy,0
2024,Córdoba-San Miguel De Tucumán,1816,102398,80024,78.1,Córdoba,San Miguel De Tucumán,0
2024,Orán-Salta,2003,110240,77886,70.7,Orán,Salta,0
2024,Salta-Orán,2013,110731,75342,68.0,Salta,Orán,0
2024,San Salvador De Jujuy-Córdoba,1739,79269,62672,79.1,San Salvador De Jujuy,Córdoba,0
2024,San Miguel De Tucumán-Salta,2344,133283,61492,46.1,San Miguel De Tucumán,Salta,0
2024,Salta-San Miguel De Tucumán,2329,132439,60968,46.0,Salta,San Miguel De Tucumán,0
2024,Córdoba-San Salvador De Jujuy,1709,77988,53381,68.4,Córdoba,San Salvador De Jujuy,0
2024,San Salvador De Jujuy-Ciudad Autónoma De Buenos Aires,890,54876,52483,95.6,San Salvador De Jujuy,Ciudad Autónoma De Buenos Aires,0
2024,Salta-La Quiaca,1448,90698,51092,56.3,Salta,La Quiaca,0
2024,Esquel-San Salvador De Jujuy,341,20143,50380,250.1,Esquel,San Salvador De Jujuy,0
2024,La Quiaca-Salta,1102,68991,49085,71.1,La Quiaca,Salta,0
2024,San Salvador De Jujuy-Esquel,343,20240,48028,237.3,San Salvador De Jujuy,Esquel,0
2024,Ciudad Autónoma De Buenos Aires-San Salvador De Jujuy,861,52866,44328,83.8,Ciudad Autónoma De Buenos Aires,San Salvador De Jujuy,0
2024,San Salvador De Jujuy-Mendoza,537,31668,42640,134.6,San Salvador De Jujuy,Mendoza,0
2024,Mendoza-San Salvador De Jujuy,537,31686,41409,130.7,Mendoza,San Salvador De Jujuy,0
2024,Córdoba-La Rioja,875,49029,38940,79.4,Córdoba,La Rioja,0
2024,Aguas Blancas-Salta,852,46914,38115,81.2,Aguas Blancas,Salta,0
2024,Salta-Córdoba,744,43341,36736,84.8,Salta,Córdoba,0
2024,La Rioja-Córdoba,896,50098,35711,71.3,La Rioja,Córdoba,0
2024,Córdoba-Salta,735,42783,32989,77.1,Córdoba,Salta,0
2024,San Fernando Del Valle De Catamarca-Córdoba,966,51105,32426,63.4,San Fernando Del Valle De Catamarca,Córdoba,0
2024,Salta-Aguas Blancas,848,46715,32318,69.2,Salta,Aguas Blancas,0
2024,Córdoba-San Fernando Del Valle De Catamarca,918,48571,31560,65.0,Córdoba,San Fernando Del Valle De Catamarca,0
2024,Ciudad Autónoma De Buenos Aires-La Rioja,605,29995,29002,96.7,Ciudad Autónoma De Buenos Aires,La Rioja,0
2024,San Fernando Del Valle De Catamarca-Belen,688,39686,28821,72.6,San Fernando Del Valle De Catamarca,Belen,0
2024,Salta-Ciudad Autónoma De Buenos Aires,471,25449,27601,108.5,Salta,Ciudad Autónoma De Buenos Aires,0
2024,Belen-San Fernando Del Valle De Catamarca,676,39095,27097,69.3,Belen,San Fernando Del Valle De Catamarca,0
2024,La Rioja-Ciudad Autónoma De Buenos Aires,602,29839,26282,88.1,La Rioja,Ciudad Autónoma De Buenos Aires,0
2024,San Miguel De Tucumán-Mar Del Plata,620,35505,26160,73.7,San Miguel De Tucumán,Mar Del Plata,0
2024,San Miguel De Tucumán-Ciudad Autónoma De Buenos Aires,614,31974,25208,78.8,San Miguel De Tucumán,Ciudad Autónoma De Buenos Aires,0
2024,San Miguel De Tucumán-Mendoza,332,18695,24657,131.9,San Miguel De Tucumán,Mendoza,0
2024,Mar Del Plata-San Miguel De Tucumán,622,35566,24315,68.4,Mar Del Plata,San Miguel De Tucumán,0
2024,Ciudad Autónoma De Buenos Aires-San Miguel De Tucumán,610,31899,23542,73.8,Ciudad Autónoma De Buenos Aires,San Miguel De Tucumán,0
2024,Salta-Corrientes,440,25954,23537,90.7,Salta,Corrientes,0
2024,Paraná-San Miguel De Tucumán,591,33579,23145,68.9,Paraná,San Miguel De Tucumán,0
2024,Tartagal-Salta,516,29710,22540,75.9,Tartagal,Salta,0
2024,San Miguel De Tucumán-Paraná,587,33325,22389,67.2,San Miguel De Tucumán,Paraná,0
2024,Corrientes-Salta,434,25597,22228,86.8,Corrientes,Salta,0
2024,Ciudad Autónoma De Buenos Aires-Salta,441,23587,21287,90.2,Ciudad Autónoma De Buenos Aires,Salta,0
2024,San Miguel De Tucumán-La Rioja,758,44962,21183,47.1,San Miguel De Tucumán,La Rioja,0
2024,Punta Alta-San Salvador De Jujuy,330,19142,19494,101.8,Punta Alta,San Salvador De Jujuy,0
2024,Fiambala-San Fernando Del Valle De Catamarca,545,31203,19342,62.0,Fiambala,San Fernando Del Valle De Catamarca,0
2024,San Miguel De Tucumán-Cafayate,881,52830,19297,36.5,San Miguel De Tucumán,Cafayate,0
2024,Mendoza-San Miguel De Tucumán,329,18548,19170,103.4,Mendoza,San Miguel De Tucumán,0
2024,San Salvador De Jujuy-Pablo Nogues,169,9956,18950,190.3,San Salvador De Jujuy,Pablo Nogues,0
2024,Cafayate-San Miguel De Tucumán,806,48330,18349,38.0,Cafayate,San Miguel De Tucumán,0
2024,San Salvador De Jujuy-Punta Alta,325,18756,18136,96.7,San Salvador De Jujuy,Punta Alta,0
2024,La Rioja-San Miguel De Tucumán,751,44655,17474,39.1,La Rioja,San Miguel De Tucumán,0
2024,San Fernando Del Valle De Catamarca-Fiambala,462,26645,17114,64.2,San Fernando Del Valle De Catamarca,Fiambala,0
2024,La Banda-San Miguel De Tucumán,711,43169,16245,37.6,La Banda,San Miguel De Tucumán,0
2024,San Fernando Del Valle De Catamarca-Frias,598,25798,15954,61.8,San Fernando Del Valle De Catamarca,Frias,0
2024,Salta-Avellaneda,284,14849,15923,107.2,Salta,Avellaneda,0
2024,Salta-Formosa,303,18046,14998,83.1,Salta,Formosa,0
2024,Santiago Del Estero-Ciudad Autónoma De Buenos Aires,284,17020,14869,87.4,Santiago Del Estero,Ciudad Autónoma De Buenos Aires,1
2024,San Salvador De Jujuy-Aguas Blancas,330,20108,14393,71.6,San Salvador De Jujuy,Aguas Blancas,0
2024,Frias-San Fernando Del Valle De Catamarca,581,25046,13130,52.4,Frias,San Fernando Del Valle De Catamarca,0
