fecha,ibt_termas,ibt_sde,ibt_motogp,ibt_compuesto
2014-01-01,5,100,13,35.1
2014-02-01,6,53,15,21.9
2014-03-01,7,55,30,26.0
2014-04-01,15,70,100,48.5
2014-05-01,8,52,12,22.0
2014-06-01,7,65,8,24.6
2014-07-01,10,85,4,31.3
2014-08-01,7,58,8,22.5
2014-09-01,4,53,6,19.1
2014-10-01,3,51,11,19.0
2014-11-01,2,59,8,20.3
2014-12-01,2,51,4,17.1
2015-01-01,7,98,8,34.5
2015-02-01,6,68,10,25.4
2015-03-01,7,63,20,26.4
2015-04-01,11,44,65,31.7
2015-05-01,7,41,13,18.4
2015-06-01,8,70,9,26.8
2015-07-01,16,89,6,35.9
2015-08-01,11,56,13,24.9
2015-09-01,9,45,8,19.6
2015-10-01,6,41,21,19.5
2015-11-01,5,63,15,24.4
2015-12-01,5,51,2,18.2
2016-01-01,8,94,5,33.2
2016-02-01,8,46,6,19.0
2016-03-01,10,46,28,24.4
2016-04-01,13,49,38,28.8
2016-05-01,16,51,8,24.9
2016-06-01,18,67,10,31.1
2016-07-01,22,83,5,36.9
2016-08-01,15,39,7,20.6
2016-09-01,12,42,10,20.6
2016-10-01,8,45,13,20.1
2016-11-01,7,59,5,22.2
2016-12-01,6,56,1,20.0
2017-01-01,7,87,3,30.2
2017-02-01,14,42,5,20.6
2017-03-01,14,37,18,21.7
2017-04-01,24,41,40,32.3
2017-05-01,20,44,9,25.0
2017-06-01,32,58,13,36.0
2017-07-01,36,81,5,43.3
2017-08-01,28,53,11,32.1
2017-09-01,22,51,7,27.7
2017-10-01,12,49,11,22.9
2017-11-01,9,57,5,22.6
2017-12-01,10,54,0,21.2
2018-01-01,16,78,2,31.8
2018-02-01,18,51,3,24.9
2018-03-01,28,39,14,28.5
2018-04-01,47,38,35,41.9
2018-05-01,25,33,8,24.0
2018-06-01,37,49,10,35.2
2018-07-01,52,58,4,44.2
2018-08-01,35,53,7,34.8
2018-09-01,29,41,5,27.8
2018-10-01,17,38,8,21.5
2018-11-01,9,52,6,21.3
2018-12-01,11,35,2,16.4
2019-01-01,18,56,2,26.2
2019-02-01,22,39,4,23.5
2019-03-01,40,33,39,37.7
2019-04-01,30,24,10,24.2
2019-05-01,28,33,5,24.9
2019-06-01,43,47,7,37.0
2019-07-01,56,60,3,46.6
2019-08-01,38,42,6,32.8
2019-09-01,30,44,6,29.4
2019-10-01,23,35,6,23.2
2019-11-01,18,48,5,24.4
2019-12-01,13,44,2,20.1
2020-01-01,22,54,3,27.8
2020-02-01,29,43,4,28.2
2020-03-01,13,21,5,13.8
2020-04-01,7,10,1,6.7
2020-05-01,7,20,1,9.7
2020-06-01,10,10,1,8.2
2020-07-01,10,19,7,12.1
2020-08-01,10,13,5,9.9
2020-09-01,11,16,7,11.7
2020-10-01,10,24,5,13.2
2020-11-01,12,61,4,25.1
2020-12-01,17,78,0,31.9
2021-01-01,27,77,1,36.8
2021-02-01,38,55,1,35.7
2021-03-01,25,46,12,28.7
2021-04-01,17,34,10,20.7
2021-05-01,12,21,7,13.7
2021-06-01,16,44,10,23.2
2021-07-01,43,97,3,51.2
2021-08-01,44,55,9,40.3
2021-09-01,42,48,7,36.8
2021-10-01,39,50,11,36.7
2021-11-01,26,39,6,25.9
2021-12-01,24,38,3,24.0
2022-01-01,42,43,5,34.9
2022-02-01,51,48,10,41.9
2022-03-01,63,35,41,50.2
2022-04-01,73,49,41,59.4
2022-05-01,71,46,6,50.5
2022-06-01,83,48,6,57.1
2022-07-01,100,60,3,68.6
2022-08-01,73,41,5,49.8
2022-09-01,52,33,7,37.3
2022-10-01,44,39,9,35.5
2022-11-01,27,32,6,24.3
2022-12-01,27,26,3,21.9
2023-01-01,39,56,5,37.3
2023-02-01,42,47,6,36.3
2023-03-01,49,45,20,42.0
2023-04-01,58,34,22,43.6
2023-05-01,69,42,3,47.7
2023-06-01,67,35,4,44.8
2023-07-01,88,49,1,58.9
2023-08-01,52,28,3,35.0
2023-09-01,54,29,6,36.9
2023-10-01,33,23,10,25.4
2023-11-01,29,32,7,25.5
2023-12-01,27,21,2,20.2
2024-01-01,37,42,7,32.5
2024-02-01,34,23,2,24.3
2024-03-01,32,17,6,22.3
2024-04-01,38,20,6,26.2
2024-05-01,56,34,4,39.0
2024-06-01,54,21,4,34.1
2024-07-01,68,28,3,43.0
2024-08-01,47,22,6,31.3
2024-09-01,42,19,12,29.1
2024-10-01,34,25,15,27.5
2024-11-01,25,12,9,17.9
2024-12-01,17,28,2,17.3
2025-01-01,32,24,5,24.2
2025-02-01,33,15,9,22.8
2025-03-01,50,18,39,38.2
2025-04-01,42,20,9,28.8
2025-05-01,49,27,5,33.6
2025-06-01,53,20,8,34.1
2025-07-01,67,32,7,44.5
2025-08-01,54,18,5,33.4
2025-09-01,43,17,8,28.2
2025-10-01,27,17,4,19.4
2025-11-01,26,26,5,21.8
2025-12-01,23,14,3,16.3
2026-01-01,36,30,2,27.4
2026-02-01,42,15,5,26.5
2026-03-01,45,13,12,28.8
2026-04-01,49,4,5,26.7
2026-05-01,57,18,4,34.7
