fecha,anio,mes,categoria,videos_publicados,vistas_totales,likes_totales,comentarios_totales,engagement_promedio,max_vistas_video,titulo_mas_visto
2026-05-01,2026,5,Termas,29,19492.0,426.0,30.0,3.28,2943,TERMAS DE RIO HONDO (1a parte)
2026-05-01,2026,5,Otro,6,16183.0,352.0,2.0,2.37,9493,5 de mayo de 2026
2026-04-01,2026,4,SDE Capital,17,73971.0,1354.0,43.0,2.83,31528,Pesca Dorado Santiago del Estero #pesca #lineadepesca #fishing #pescasub #dorado #doradillo
2026-04-01,2026,4,Otro,10,28066.0,555.0,24.0,2.18,16145,#santiagodelestero #baile #leodan
2026-04-01,2026,4,Termas,15,11083.0,250.0,95.0,1.83,2335,Saudade de Termas do Rio Hondo Argentina
2026-04-01,2026,4,MotoGP,2,1522.0,27.0,0.0,1.4,1296,MotoGP 25 | Alex Marquez – Gran Premio YPF Energia de Argentina Race 2026 Gameplay #motogp
2026-03-01,2026,3,Otro,3,261876.0,77.0,1.0,2.55,259893,Respuesta y acompañamiento en tiempos difíciles 🫂 #gobiernodelaprovincia #santiagodelestero
2026-03-01,2026,3,Termas,20,94975.0,503.0,40.0,1.01,80995,"Desde Las Termas, Noticiero 7 mostró el impacto del avance del Río Dulce"
2026-03-01,2026,3,MotoGP,4,86991.0,760.0,4.0,0.81,61893,🏁 MotoGP 25 | KTM RC16 Attacks Termas de Río Hondo – Argentina GP Flow &amp; Fire! 🇦🇷🏍️
2026-03-01,2026,3,SDE Capital,7,9286.0,235.0,25.0,2.2,2228,Origen de Santiago del estero #historia #argentina #history #santiagodelestero #guau
2026-02-01,2026,2,Otro,3,44575.0,357.0,184.0,1.2,44013,"Macabro hallazgo: la encontraron mutilada, calcinada y envuelta en una frazada"
2026-02-01,2026,2,SDE Capital,5,9172.0,232.0,3.0,1.98,4803,Así es vivir en Santiago del Estero #cambáporahi #granchaco #historiasdelmonte #santiagodelestero
2026-02-01,2026,2,Termas,1,150.0,2.0,0.0,1.33,150,#shorts TERMAS DE RIO HONDO
2026-01-01,2026,1,SDE Capital,1,60895.0,1418.0,54.0,2.42,60895,Así es VIVIR en un PUEBLO AISLADO de Santiago del Estero
2026-01-01,2026,1,Termas,7,41028.0,1095.0,117.0,1.42,34189,"FEDERACIÓN TE ESPERA ⛱️ VACACIONES VERANO 2026 👉 Termas, alojamiento y gastronomía #PRECIOS 🇦🇷"
2026-01-01,2026,1,Otro,1,401.0,3.0,0.0,0.75,401,El Hotel Amerian Carlos V presenta paquetes especiales y experiencias para toda la familia
2025-12-01,2025,12,Termas,3,84790.0,1975.0,152.0,2.0,51861,Termas Rio Hondo
2025-12-01,2025,12,MotoGP,2,58969.0,582.0,5.0,1.17,53059,"🏁 MotoGP 25 | Idemitsu Honda RC213V Charges Termas – Flow, Rhythm &amp; Argentina GP Speed! 🇦🇷🏍️"
2025-12-01,2025,12,Otro,1,916.0,67.0,20.0,9.5,916,EP 13 - Que espetáculo de Hotel !!! A caminho do Atacama.
